siteID,lat,lon,elev,slp,temp,sky,dpt,wx,wdr,wsp
KLVJ,29.517,-95.25,12.0,1019.1,24.4,0.0,5.6,,nan,6.0
KGGG,32.384,-94.712,107.0,1015.58,23.9,0.0,5.0,,220.0,14.0
KGIF,28.063,-81.753,43.0,1018.0,26.1,0.0,10.0,,340.0,7.0
KGJT,39.122,-108.527,1475.0,1017.0,8.9,0.0,-7.2,,330.0,8.0
KGKJ,41.633,-80.217,428.0,1007.5,2.8,1.0,-1.7,,260.0,13.0
KGKY,32.664,-97.094,192.0,1012.7,20.0,0.0,7.8,,170.0,16.0
KGLD,39.371,-101.699,1113.0,1003.9,18.9,0.0,-7.2,,170.0,7.0
KGLH,33.483,-90.986,45.0,1018.6,21.1,0.0,3.9,,230.0,11.0
KGMU,34.848,-82.35,315.0,1013.2,20.6,0.0,0.6,,240.0,11.0
KGNV,29.69,-82.272,45.0,1019.3,21.7,0.0,1.1,,nan,5.0
KGPT,30.407,-89.07,14.0,1020.4,17.8,0.0,-1.7,,180.0,8.0
KGRB,44.485,-88.13,208.0,1006.3,6.7,0.0,-1.7,,250.0,11.0
KGRI,40.967,-98.31,561.0,1006.1,10.6,0.0,0.0,,240.0,16.0
KGRR,42.881,-85.523,237.0,1008.5,5.6,0.25,0.0,,270.0,14.0
KGSH,41.533,-85.783,252.0,1011.2,6.1,0.0,-1.1,,240.0,13.0
KGSP,34.896,-82.219,287.0,1013.3,19.4,0.0,0.0,,200.0,7.0
KGTF,47.482,-111.371,1119.0,1013.9,1.7,1.0,-12.2,,270.0,21.0
KGUP,35.511,-108.789,1971.0,1014.9,13.3,0.0,-6.7,,210.0,14.0
KGUY,36.685,-101.508,948.0,1002.9,22.2,0.0,-5.6,,190.0,22.0
KGVL,34.273,-83.83,386.0,1015.8,18.9,0.0,-2.8,,260.0,14.0
KGWO,33.494,-90.085,44.0,1018.7,21.1,0.0,4.4,,nan,6.0
KGZH,31.416,-87.044,78.0,1019.1,24.4,0.0,-1.7,,nan,5.0
KHAO,39.364,-84.522,188.0,1013.9,11.1,0.0,-0.6,,270.0,11.0
KHBG,31.265,-89.253,44.0,1019.4,22.2,0.0,-3.3,,150.0,5.0
KHBI,35.654,-79.895,205.0,1012.53,16.9,0.0,-0.2,,230.0,10.0
KHBR,34.991,-99.051,473.0,1009.5,19.4,0.0,2.2,,nan,nan
KHEI,46.017,-102.65,828.0,1004.0,6.1,0.75,-2.8,,290.0,23.0
KHFD,41.737,-72.649,4.0,1001.2,3.3,0.75,0.6,HZ,170.0,8.0
KHGR,39.708,-77.729,224.0,1007.0,9.4,0.75,0.0,,270.0,15.0
KHHR,33.923,-118.335,18.0,1016.3,23.3,0.0,-4.4,,0.0,0.0
KHIB,47.387,-92.839,412.0,1004.7,3.9,0.0,-5.0,,290.0,5.0
KHIO,45.54,-122.95,68.0,1030.6,8.3,0.5,3.3,,240.0,5.0
KMLB,28.103,-80.645,11.0,1018.1,21.1,0.0,13.9,,60.0,12.0
KMLC,34.882,-95.784,232.0,1011.5,23.3,0.0,3.3,,200.0,16.0
KMLP,47.45,-115.007,1837.0,1014.56,-6.7,0.25,-9.4,-SN,0.0,0.0
KMLS,46.428,-105.886,801.0,1009.6,3.3,0.25,-1.7,-SN,320.0,27.0
KMLT,45.648,-68.686,123.0,998.0,2.2,1.0,-2.2,,nan,5.0
KMLU,32.511,-92.038,29.0,1018.1,23.3,0.0,1.7,,180.0,7.0
KMMK,41.509,-72.829,31.0,1001.6,3.3,0.75,0.6,,200.0,7.0
KMMV,45.194,-123.136,48.0,1031.3,10.0,0.25,4.4,,250.0,14.0
KMNN,40.617,-83.067,301.0,1012.1,5.6,0.0,-0.6,,270.0,8.0
KMOD,37.626,-120.954,29.0,1020.4,17.2,0.0,3.9,,330.0,12.0
KMOT,48.259,-101.28,519.0,1004.2,1.7,1.0,-0.6,-SN,10.0,10.0
KMPO,41.138,-75.379,577.0,1001.5,1.1,1.0,-2.2,,260.0,14.0
KMRB,39.402,-77.985,164.0,1006.6,10.0,0.75,0.0,,270.0,20.0
KMSL,34.745,-87.61,164.0,1016.5,21.7,0.0,0.0,,290.0,9.0
KMSN,43.14,-89.338,261.0,1008.7,6.7,0.75,-1.1,,240.0,5.0
KMSO,46.916,-114.091,975.0,1020.1,2.2,0.75,-6.1,,280.0,20.0
KMSP,44.882,-93.222,265.0,1006.7,3.3,0.25,-1.7,,210.0,3.0
KMSY,29.993,-90.258,5.0,1020.7,21.7,0.0,0.6,,70.0,5.0
KMTH,24.726,-81.051,2.0,1017.0,25.0,0.75,20.6,,320.0,6.0
KMTJ,38.51,-107.894,1750.0,1015.8,6.7,0.0,-4.4,,320.0,3.0
KMVY,41.393,-70.614,16.0,1002.0,5.0,0.75,-0.6,,230.0,11.0
KMWK,36.46,-80.553,380.0,1011.85,17.9,0.0,-4.8,,300.0,14.0
KMWL,32.782,-98.06,284.0,1011.1,27.2,0.0,2.2,,210.0,18.0
KMYF,32.817,-117.133,136.0,1016.1,24.4,0.0,-2.2,,240.0,7.0
KMYV,39.098,-121.57,21.0,1021.9,21.7,0.0,1.7,,310.0,18.0
KNEW,30.042,-90.028,3.0,1020.2,19.4,0.0,4.4,,40.0,8.0
KOAK,37.721,-122.221,26.0,1021.1,19.4,0.25,6.1,,190.0,11.0
KODO,31.917,-102.4,902.0,1011.7,22.8,0.0,-11.7,,230.0,17.0
KODX,41.617,-98.95,631.0,1003.39,nan,0.0,nan,,240.0,14.0
KOGB,33.457,-80.859,59.0,1014.7,20.6,0.0,-0.6,,260.0,11.0
KDRA,36.619,-116.033,1006.0,1016.3,20.0,0.0,-8.3,,20.0,11.0
ENOV,62.18,6.074,74.0,1005.0,9.0,0.5,0.0,-RA,nan,6.0
ENSD,61.83,6.106,60.0,1007.0,8.0,0.25,2.0,-SHRA,nan,5.0
ENSG,61.156,7.138,497.0,1011.0,7.0,0.5,-3.0,,250.0,10.0
ENSS,70.355,31.045,12.0,1013.0,-11.0,0.75,-12.0,BLSN,240.0,26.0
LGAD,37.921,21.293,12.0,1030.0,9.0,0.0,8.0,,nan,2.0
LGKO,36.793,27.092,125.0,1027.0,14.0,0.0,7.0,,360.0,12.0
LGLM,39.917,25.236,5.0,1030.0,9.0,0.0,7.0,,0.0,0.0
LGSA,35.532,24.15,135.0,1029.0,12.0,0.25,10.0,,0.0,0.0
LGSM,37.69,26.912,6.0,1026.0,11.0,0.0,7.0,,20.0,7.0
LGTS,40.52,22.971,7.0,1031.0,8.0,0.0,5.0,,90.0,5.0
LOXZ,47.203,14.744,682.0,1037.0,2.0,0.0,-1.0,,0.0,0.0
EEKE,58.23,22.51,4.0,1023.0,3.0,0.25,3.0,,270.0,4.0
EETU,58.307,26.69,67.0,1022.0,1.0,1.0,1.0,BR,200.0,5.0
NFNA,-18.043,178.559,5.0,1007.0,27.0,0.5,24.0,,130.0,4.0
LIBD,41.139,16.761,44.0,1034.0,9.0,0.0,7.0,,260.0,3.0
LIBR,40.658,17.947,10.0,1033.0,12.0,0.5,10.0,,350.0,11.0
LICC,37.467,15.066,17.0,1034.0,10.0,0.0,9.0,,270.0,3.0
LICJ,38.176,13.091,34.0,1035.0,12.0,0.0,10.0,,90.0,5.0
LIPB,46.46,11.326,241.0,1038.0,7.0,0.0,1.0,,nan,1.0
LIPE,44.535,11.289,42.0,1036.0,9.0,0.0,6.0,BR,190.0,3.0
LIPH,45.648,12.194,23.0,1036.0,7.0,0.75,7.0,FG,220.0,1.0
LIPQ,45.827,13.472,12.0,1036.0,8.0,0.0,8.0,FG,nan,2.0
LIPR,44.02,12.612,13.0,1036.0,5.0,0.0,5.0,FG,nan,2.0
